,dp_id,MJD
162,ADP.2014-10-07T08:34:11.787,56694.0850948
163,ADP.2014-10-07T08:34:36.053,56694.06394242
164,ADP.2014-10-07T08:34:41.453,56694.07663304
165,ADP.2014-10-07T08:34:50.847,56772.96990266
166,ADP.2014-10-07T08:35:04.990,56706.07326066
167,ADP.2014-11-19T19:02:10.657,56980.32311616
168,ADP.2014-10-07T08:35:20.260,56772.97202432
169,ADP.2014-10-07T08:35:24.047,56707.10241587
170,ADP.2014-10-07T08:35:42.767,56706.06902487
171,ADP.2014-11-19T19:02:10.677,56980.33996214
172,ADP.2014-11-19T19:02:11.457,56980.33035516
173,ADP.2014-11-19T19:02:11.523,56980.35684343
174,ADP.2014-10-06T10:04:01.693,56580.2781643
175,ADP.2014-10-06T10:04:45.113,56580.28136299
176,ADP.2014-10-06T10:05:31.557,56583.38341118
177,ADP.2014-10-06T10:05:39.673,56569.30277597
178,ADP.2014-10-06T10:05:50.113,56583.38447166
179,ADP.2014-10-06T10:06:20.460,56580.32713381
180,ADP.2014-09-23T11:01:52.907,54878.12712928
181,ADP.2014-09-29T13:27:03.617,52942.25809883
182,ADP.2014-09-29T13:27:07.050,52943.25680264
183,ADP.2014-10-01T10:19:21.927,53066.05367439
184,ADP.2014-10-01T10:21:06.457,53052.03540397
185,ADP.2014-10-01T10:23:12.673,53037.01792845
186,ADP.2014-10-07T08:35:05.010,56694.03998097
187,ADP.2014-10-07T08:35:06.027,56706.04032895
188,ADP.2014-10-07T08:35:08.050,56706.08492309
189,ADP.2014-10-07T08:35:09.213,56707.09392308
190,ADP.2014-10-07T08:35:09.533,56707.10666313
191,ADP.2014-10-07T08:35:19.450,56707.10453961
192,ADP.2014-10-07T08:33:56.207,56772.96778088
193,ADP.2014-10-07T08:34:58.163,56707.09710789
194,ADP.2014-10-07T08:35:26.460,56706.0881079
195,ADP.2014-10-07T08:35:46.140,56694.0822702
196,ADP.2014-11-19T19:02:09.857,56980.32552777
197,ADP.2014-11-19T19:02:10.617,56980.34537881
198,ADP.2014-10-02T10:03:04.223,53463.98230039
199,ADP.2014-10-06T10:03:51.917,56569.30064599
200,ADP.2014-10-06T10:04:17.050,56580.2930711
201,ADP.2014-10-06T10:04:18.690,56580.33885918
202,ADP.2014-10-06T10:04:34.007,56580.33992348
203,ADP.2014-10-06T10:06:36.280,56580.31647414
204,ADP.2014-10-01T10:21:29.837,53033.04278096
205,ADP.2014-10-02T10:03:16.420,53463.98170485
206,ADP.2014-10-06T10:03:43.813,56580.31540127
207,ADP.2014-10-06T10:03:59.627,56569.29957624
208,ADP.2014-10-06T10:04:09.540,56580.28774694
209,ADP.2014-10-06T10:04:44.120,56580.29413551
210,ADP.2014-11-19T19:02:10.943,56980.34839891
211,ADP.2014-11-19T19:02:11.303,56980.35442928
212,ADP.2014-11-19T19:02:11.403,56980.34417583
213,ADP.2014-11-21T19:00:52.387,56982.35621789
214,ADP.2015-01-19T22:55:31.553,57041.18367825
215,ADP.2015-01-19T22:55:31.567,57041.17834932
216,ADP.2014-09-23T11:03:43.373,54878.12187687
217,ADP.2014-09-23T11:05:27.713,54878.12537905
218,ADP.2014-09-29T13:27:07.310,52985.2320453
219,ADP.2014-09-29T13:27:19.283,52947.21834129
220,ADP.2014-10-01T10:19:30.237,53035.01758041
221,ADP.2014-10-01T10:19:40.370,53031.03066127
222,ADP.2014-10-06T10:04:19.910,56580.28561301
223,ADP.2014-10-06T10:04:25.203,56580.32819487
224,ADP.2014-10-06T10:06:06.027,56569.31736331
225,ADP.2014-10-06T10:06:41.307,56580.31753994
226,ADP.2014-10-07T08:33:45.017,56694.06816838
227,ADP.2014-10-07T08:34:05.243,56707.08544107
228,ADP.2014-09-29T13:27:21.293,52947.21658676
229,ADP.2014-10-01T10:20:49.093,53036.01239542
230,ADP.2014-10-01T10:21:33.077,53061.04374846
231,ADP.2014-10-01T10:21:53.820,53064.04154893
232,ADP.2014-10-06T10:04:10.387,56583.37596269
233,ADP.2014-10-06T10:04:54.920,56580.32499364
234,ADP.2014-11-19T19:02:10.783,56980.32854497
235,ADP.2014-11-19T19:02:10.830,56980.33455554
236,ADP.2014-11-19T19:02:11.537,56980.32070859
237,ADP.2014-11-21T19:00:51.447,56982.34617603
