Station:;rmr;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]29;[Avg]29;[Max]29;[data%]29;[Min]26;[Avg]26;[Max]26;[data%]26;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]27;[Avg]27;[Max]27;[data%]27;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]RS2;[Avg]RS2;[Max]RS2;[data%]RS2;[Min]28;[Avg]28;[Max]28;[data%] 28
2016-09-17;8.51;13.16;18.98;100.00;0.00;1.38;5.68;100.00;0.00;1.57;6.06;100.00;157.56;157.56;157.56;100.00;172.57;172.57;172.57;100.00;0.00;252.48;914.00;100.00;0.00;235.45;845.00;100.00
2016-09-18;7.66;12.68;18.57;100.00;0.00;1.86;10.72;100.00;0.00;2.09;12.98;100.00;-58.28;301.72;301.72;100.00;-59.66;300.34;300.34;100.00;0.00;270.97;935.00;100.00;0.00;253.11;852.00;100.00
2016-09-19;9.54;12.79;16.99;100.00;0.00;1.73;7.88;100.00;0.00;1.96;8.08;100.00;-69.29;290.72;290.72;100.00;-69.74;290.26;290.26;100.00;0.00;207.21;1195.00;100.00;0.00;191.66;954.00;100.00
2016-09-20;11.78;13.26;16.22;100.00;0.00;1.82;7.00;100.00;0.00;2.02;6.94;100.00;-106.39;253.61;253.61;100.00;-105.84;254.16;254.16;100.00;0.00;202.21;1228.00;100.00;0.00;186.68;1024.00;100.00
2016-09-21;11.02;12.87;15.69;100.00;0.00;1.72;5.63;100.00;0.00;1.95;6.23;100.00;-103.24;256.76;256.76;100.00;-105.93;254.07;254.07;100.00;0.00;101.83;485.50;100.00;0.00;93.53;438.20;100.00
2016-09-22;10.84;12.72;17.13;100.00;0.00;1.35;6.08;100.00;0.00;1.50;6.59;100.00;-123.82;236.18;236.18;100.00;-122.38;237.62;237.62;100.00;0.00;181.64;1182.00;100.00;0.00;168.92;929.00;100.00
2016-09-23;9.79;12.61;16.91;100.00;0.00;1.62;6.45;100.00;0.00;1.84;7.47;100.00;-133.75;226.25;226.25;100.00;-131.94;228.06;228.06;100.00;0.00;265.18;962.00;100.00;0.00;247.46;897.00;100.00
2016-09-24;8.20;11.85;15.96;100.00;0.00;1.80;6.49;100.00;0.00;2.02;7.59;100.00;-133.66;226.34;226.34;100.00;-133.17;226.83;226.83;100.00;0.00;228.41;1198.00;100.00;0.00;212.25;988.00;100.00
2016-09-25;10.34;11.85;15.83;100.00;0.00;1.78;6.33;100.00;0.00;2.01;7.13;100.00;-145.43;214.57;214.57;100.00;-146.40;213.60;213.60;100.00;0.00;205.61;1272.00;100.00;0.00;190.86;1077.00;100.00
2016-09-26;9.70;11.81;15.05;100.00;0.00;1.91;8.43;100.00;0.00;2.15;9.37;100.00;-111.93;248.07;248.07;100.00;-111.14;248.86;248.86;100.00;0.00;222.82;1169.00;100.00;0.00;206.92;970.00;100.00
