Station:;cgr;;;;;;;;;;;;;;;;;;;;;;;
Date range:;[2016-08-01,2021-08-01];;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
date;[Min]TA2;[Avg]TA2;[Max]TA2;[Data%]TA2;[Min]VV5;[Avg]VV5;[Max]VV5;[data%]VV5;[Min]VV10;[Avg]VV10;[Max]VV10;[Data%]VV10;[Min]DV5;[Avg]DV5;[Max]DV5;[data%]DV5;[Min]DV10;[Avg]DV10;[Max]DV10;[data%]DV10;[Min]RS;[Avg]RS;[Max]RS;[data%]RS
2016-09-23;8.40;10.20;15.43;100.00;0.00;2.15;7.59;100.00;0.00;2.33;7.74;100.00;-55.20;304.80;304.80;100.00;-47.07;312.93;312.93;100.00;0.00;149.36;1068.00;100.00
2016-09-24;7.32;9.53;13.25;100.00;0.00;2.16;6.49;100.00;0.00;2.31;6.74;100.00;-50.32;309.68;309.68;100.00;-36.40;323.60;323.60;100.00;0.00;98.83;449.60;100.00
2016-09-25;7.42;8.68;12.08;100.00;0.00;1.83;7.98;100.00;0.00;1.98;8.92;100.00;-47.79;312.21;312.21;100.00;-34.52;325.49;325.49;100.00;0.00;111.71;1196.00;100.00
2016-09-26;6.95;8.15;9.56;100.00;0.00;1.56;5.74;100.00;0.00;1.69;6.57;100.00;-40.45;319.55;319.55;100.00;-26.74;333.26;333.26;100.00;0.00;62.82;255.10;100.00
2016-09-27;7.70;9.24;12.79;100.00;0.00;2.04;8.33;100.00;0.00;2.16;8.82;100.00;-51.64;308.36;308.36;100.00;-38.35;321.65;321.65;100.00;0.00;109.01;1127.00;100.00
2016-09-28;8.06;8.85;10.46;100.00;0.00;2.22;9.13;100.00;0.00;2.46;9.49;100.00;-52.01;307.99;307.99;100.00;-39.38;320.62;320.62;100.00;0.00;48.78;416.70;100.00
2016-09-29;8.27;10.71;15.73;100.00;0.00;2.03;8.96;100.00;0.00;2.22;9.47;100.00;-122.16;237.84;237.84;100.00;-120.51;239.49;239.49;100.00;0.00;221.78;1276.00;100.00
2016-09-30;9.38;12.41;16.14;100.00;0.00;2.44;9.33;100.00;0.00;2.74;9.43;100.00;-7.36;352.64;352.64;100.00;9.28;9.28;9.28;100.00;0.00;305.55;996.00;100.00
2016-10-01;8.17;10.26;12.65;100.00;0.00;2.19;7.84;100.00;0.00;2.37;7.96;100.00;-53.12;306.88;306.88;100.00;-54.28;305.72;305.72;100.00;0.00;120.74;1144.00;100.00
2016-10-02;8.63;9.79;11.71;100.00;0.00;2.03;6.39;100.00;0.00;2.26;6.55;100.00;-51.38;308.62;308.62;100.00;-48.84;311.16;311.16;100.00;0.00;73.99;360.10;100.00
